id,timestamp,ocr_text
168,1774967356522,FANVN5,0.783
170,1774967357858,0640115,0.724
182,1774967359394,064AFW15,0.872
184,1774967359960,064AFW15,0.978
188,1774967360959,224EFA15,0.969
190,1774967363808,25X5T2VT,0.519
14,1775205033323,T454TNM,0.963
15,1775205034021,T454TNMP0E,0.740
17,1775205036764,0010,0.637
18,1775205039199,0011075,0.727
23,1775205040766,T61,0.560
23,1775205043372,J11A,0.496
30,1775205046489,0011NR15,0.932
32,1775205046956,0011NR15,0.960
33,1775205047500,9580115,0.718
34,1775205048122,958AC1N5,0.649
41,1775205049533,958AC115,0.835
42,1775205050013,958AC115,0.926
49,1775205055878,718EXF,0.839
70,1775205079117,3A15,0.449
14,1775205422377,T454TNM,0.963
15,1775205423040,T454TNMP0E,0.740
17,1775205425681,0010,0.637
17,1775205427716,00,0.917
18,1775205428448,0011075,0.727
23,1775205429984,T61,0.560
23,1775205432950,J11A,0.496
14,1775205724610,T454TNM,0.963
15,1775205725191,T454TNMP0E,0.740
17,1775205727814,0010,0.637
18,1775205730134,0011075,0.727
23,1775205731730,T61,0.560
23,1775205734652,J11A,0.496
14,1775206022877,T454TNM,0.963
15,1775206023505,T454TNMP0E,0.740
17,1775206026117,0010,0.637
18,1775206028614,0011075,0.727
14,1775206185347,T454TNM,0.963
15,1775206185957,T454TNMP0E,0.740
17,1775206188279,0010,0.637
18,1775206190424,0011075,0.727
23,1775206191924,T61,0.560
23,1775206194447,J11A,0.496
30,1775206197661,0011NR15,0.932
32,1775206198197,0011NR15,0.960
33,1775206198788,9580115,0.718
34,1775206199380,958AC1N5,0.649
41,1775206200758,958AC115,0.835
42,1775206201356,958AC115,0.926
49,1775206207311,718EXF,0.839
70,1775206214056,3A15,0.449
74,1775206215945,509A15,0.504
75,1775206215946,049115,0.947
85,1775206218556,089AR15,0.959
86,1775206218991,089AR15,0.937
87,1775206227146,075DR5,0.850
88,1775206227798,075,0.961
97,1775206229876,075AV5075AW15,0.947
98,1775206230994,075AVC0T5A5,0.852
100,1775206232590,075AV1,0.894
102,1775206238396,T8,0.486
103,1775206240210,6236EA15,0.797
114,1775206242576,CM,0.315
123,1775206245342,KA2P05T,0.995
127,1775206254323,FMTEYAX81,0.573
134,1775206260068,RT154298T63095R,0.484
142,1775206263247,951AEY15,0.904
143,1775206263690,951AEY15,0.903
152,1775206268677,348A8V15,0.952
153,1775206269272,348A8VL15,0.898
165,1775206294142,541AEX115,0.912
166,1775206294619,541AEX15,0.920
180,1775206297569,198AFW15,0.877
187,1775206298954,024ACN15,0.864
188,1775206299416,024ACN15,0.912
208,1775206305458,202AF015,0.948
210,1775206305948,202AF015,0.939
216,1775206308292,65PM5A,0.588
218,1775206312000,2240A1,0.709
232,1775206313786,064AFW15,0.856
233,1775206314300,064AFW15,0.898
237,1775206315197,224EFA15,0.963
238,1775206315657,224EFA15,0.974
239,1775206316165,224EFA15,0.969
241,1775206318928,H0LNT,0.510
249,1775206321476,4797M1YR4X8,0.523
253,1775206325121,990A9315,0.841
255,1775206326400,51910201,0.800
260,1775206328926,39MDTA5,0.644
262,1775206329375,3910TA15,0.827
276,1775206330751,519T0201,0.860
277,1775206331284,519T0201,0.861
